news_id	현재제목	현재길이	원제(중)	제안제목	제안길이	사유
337201	마이크로컨트롤러 유닛(MCU) 가격 5% 인상	25	MCU芯片再掀提价潮 10股获外资机构调研	MCU 칩 가격 인상 물결 10주 외자기관	23	길이초과(25>24), 원제번역과상이
337302	PCB 가격 15% 인상, 관련 회사 상한가 기록	27	市场延续结构性分化，AI硬件与半导体为代表的科技主线持续火爆	PCB 가격 15% 인상	13	길이초과(27>24), 원제번역과상이
337299	중국 기업, 190개국 5만2천개 해외 기업 설립	27	中国优势塑造企业出海新格局：制造综合实力与品牌已成竞争关键	중국의 우위는 기업의 해외 진출의 새로운	22	길이초과(27>24), 원제번역과상이
337324	심남회로, 3000억 위안 시가총액 돌파	22	PCB板块成市场“最靓的仔” 重仓基金斩获丰厚回报	심남회로, 3000억 위안 시가총액 돌파	22	-
334807	루자쭈이 포럼, 상장 기업의 인수합병 및 재융자를 지원 발표	33	一文看懂吴清最新发言：主动拥抱新一轮科技革命	루자쭈이 포럼, 상장 기업의 인수합병	20	길이초과(33>24), 원제번역과상이
335279	상하이 증권거래소, 인공지능 대형 모델 기업 과창판 기준 발표	34	上交所发布人工智能大模型企业适用科创板第五套上市标准审核指引	상하이 증권거래소는 인공지능 대형 모델	21	길이초과(34>24), 원제번역과상이
335415	위수테크놀로지, 상하이에 아시아 최초 스마트 가구 체험관 개설	34	宇树VS智元：旗舰店里的机器人，谁在买单？| 一线	위수테크놀로지, 상하이에 아시아 최초	20	길이초과(34>24), 원제번역과상이
334501	창춘자동차직업기술대 졸업생 1931명 취업 확보	26	职教实践进行时｜新手到能手的路有多远？行走中的产业育人课给答案	창춘자동차직업기술대 졸업생 1931명 취업	23	길이초과(26>24), 원제번역과상이
335948	상반기 중국 A주 IPO 시장, 67개 신규 주식 600억 위안 모집	38	上半年A股IPO盘点：67股募资600亿，联讯仪器创27倍“神话”12611小时前	67개 신규 주식 600억 위안 모집	20	길이초과(38>24), 원제번역과상이
335822	루자쭈이 포럼에서 우칭, 과창판 제5차 표준 적용 범위 인공지능 분야로 확대	42	证监会主席吴清：A股科技板块的市值占比超过三成	증권감독관리위원회 주석 우칭: A주 기술	22	길이초과(42>24), 원제번역과상이
334442	1-5월 중국 종합보세구역 수출입액 27% 증가	26	5月国内楼市持续回暖；DeepSeek首轮融资落地｜21早新闻	5월 국내 부동산 시장이 지속적으로 회복되고 있다	27	길이초과(26>24), 원제번역과상이
334952	베이징시 버스 신에너지화율 80% 돌파	21	北京全市地面公交新能源化率已突破80%	베이징 시내의 지상 버스 신에너지화율	20	원제번역과상이
